                                               queryItem  queryIndex             stringId  ncbiTaxonId    taxonName    preferredName                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              annotation Uniprot accession                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Biological Processes                                                                                                                                                                                                                                                                                                    Evidences
                                     elongation factor 2           0 4530.OS02T0519900-01         4530 Oryza sativa        OsJ_06933                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Elongation factor 2; Os02g0519900 protein; Putative elongation factor 2            Q6H4L2                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          [translational elongation]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                 fructose-bisphosphate aldolase, class I          37 4530.OS01T0118000-01         4530 Oryza sativa  OS01T0118000-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Belongs to the class I fructose-bisphosphate aldolase family            Q94JJ0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [fructose 1,6-bisphosphate metabolic process, glycolytic process]                                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central]
                           glucose-6-phosphate isomerase          39 4530.OS08T0478800-01         4530 Oryza sativa  OS08T0478800-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Glucose-6-phosphate isomerase ; Belongs to the GPI family            Q6ZB94                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        [gluconeogenesis, glucose 6-phosphate metabolic process, glycolytic process]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                            Os06g0114000          40 4530.OS06T0114000-02         4530 Oryza sativa  OS06T0114000-02                                                                                                                                                                                                                                                                                                                                                                                                                                 Os06g0114000 protein; Putative chaperonin 60 beta; RuBisCo subunit binding-protein beta subunit; cDNA clone:J033034I03, full insert sequence ; Belongs to the chaperonin (HSP60) family            Q9LWT6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   [protein folding]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                             UDP glucose 6-dehydrogenase          44 4530.OS03T0425600-00         4530 Oryza sativa             UGD1                                                                                                                                                                                                                                                                                                                                                                                                                                                                       UDP-glucose 6-dehydrogenase 1; Involved in the biosynthesis of UDP-glucuronic acid (UDP-GlcA), providing nucleotide sugars for cell-wall polymers            Q75GS4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [glycosaminoglycan biosynthetic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                       putative selenium binding protein          46 4530.OS01T0916400-01         4530 Oryza sativa              SBP                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        Os01g0916400 protein; Putative selenium binding protein; Uncharacterized protein            Q8RZW7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                                 prolyl aminopeptidase 2          47 4530.OS02T0794700-01         4530 Oryza sativa  OS02T0794700-01                                                                                                                                                                                                                                                                                                                                                                                     Leucine aminopeptidase 2, chloroplastic; Presumably involved in the processing and regular turnover of intracellular proteins. Catalyzes the removal of unsubstituted N- terminal amino acids from various peptides (By similarity)            Q6K669                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [proteolysis]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                           inositol-3-phosphate synthase          48 4530.OS03T0192700-01         4530 Oryza sativa            RINO1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Inositol-3-phosphate synthase 1; Involved in myo-inositol synthesis. Is a key enzyme in the phytic acid biosynthesis pathway in seeds            O64437                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [inositol biosynthetic process]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                           glutathione reductase (NADPH)          52 4530.OS03T0163300-01         4530 Oryza sativa        OsJ_09517                                                                                                                                                                                                                                                                                                                                         Glutathione reductase, chloroplast, putative, expressed; Os03g0163300 protein; Putative glutathione reductase; Putative glutathione reductase (NADPH); cDNA clone:J033128J11, full insert sequence ; Belongs to the class-I pyridine nucleotide-disulfide oxidoreductase family            Q8S5T1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            [cell redox homeostasis]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
                           aldehyde dehydrogenase (NAD+)          55 4530.OS01T0591000-01         4530 Oryza sativa           ALDH1a                                                                                                                                                                                                                                                                                                                                                                                 cDNA clone:002-117-A10, full insert sequence; Cytosolic aldehyde dehydrogenase; Os01g0591000 protein; Putative aldehyde dehydrogenase (NAD+); cDNA clone:002-117-A10, full insert sequence; cDNA clone:J023144F17, full insert sequence            Q9LRE9                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                 glucose-1-phosphate adenylyltransferase          56 4530.OS01T0633100-01         4530 Oryza sativa            AGPL2                                                                                                                                                                                                                      Glucose-1-phosphate adenylyltransferase large subunit 2, cytosolic; Involved in synthesis of starch. Catalyzes the synthesis of ADP-glucose, a molecule that serves as an activated glycosyl donor for alpha-1,4-glucan synthesis. Essential for starch synthesis in seed endosperm . Is essential for both catalytic and allosteric regulatory properties of the cytosolic heterotetramer enzyme             Q7G065                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       [starch biosynthetic process]                                                                                                                                                                                                                                                                                              [IMP:UniProtKB]
                                 retrotransposon protein          57 4530.OS09T0375700-01         4530 Oryza sativa  OS09T0375700-01                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Os09g0375700 protein; Retrotransposon protein, putative, Ty3-gypsy sub-class; Retrotransposon protein, putative, Ty3-gypsy subclass        A0A0N7KQP6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                          2-phosphoglycerate dehydratase          62 4530.OS10T0167300-01         4530 Oryza sativa             ENO1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Enolase ; Belongs to the enolase family        A0A0N7KRH6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                        6-phosphogluconate dehydrogenase          67 4530.OS11T0484500-01         4530 Oryza sativa           G6PGH2                                                                                                                                                                                                                                                                                                                                               6-phosphogluconate dehydrogenase, decarboxylating 2, chloroplastic; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH; Belongs to the 6-phosphogluconate dehydrogenase family            Q2R480                                                                                                                                                                                                                                                                                                                                                                                                                                                                     [D-gluconate catabolic process, pentose-phosphate shunt, oxidative branch, response to abscisic acid, response to cold, response to salt stress, response to water deprivation]                                                                                                                                                                                                                 [IBA:GO_Central, IBA:GO_Central, IEP:UniProtKB, IEP:UniProtKB, IEP:UniProtKB, IEP:UniProtKB]
                              argininosuccinate synthase          68 4530.OS11T0303050-00         4530 Oryza sativa  OS11T0303050-00                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Os11g0303050 protein; Argininosuccinate synthase, chloroplast, putative; Argininosuccinate synthase, putative        A0A0P0Y1E8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    [arginine biosynthetic process, argininosuccinate metabolic process, urea cycle]                                                                                                                                                                                                                                                             [IBA:GO_Central, IBA:GO_Central, IBA:GO_Central]
                                   putative aminoacylase          69 4530.OS06T0210200-01         4530 Oryza sativa       P0021C04.7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Os06g0210200 protein; Putative aminoacylase            Q69TX7                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 NaN                                                                                                                                                                                                                                                                                                          NaN
                         eukaryotic initiation factor 4A          75 4530.OS02T0146600-01         4530 Oryza sativa        OsJ_05367                                                                                                                                                                             Eukaryotic initiation factor 4A-3; ATP-dependent RNA helicase which is a subunit of the eIF4F complex involved in cap recognition and is required for mRNA binding to ribosome. In the current model of translation initiation, eIF4A unwinds RNA secondary structures in the 5'-UTR of mRNAs which is necessary to allow efficient binding of the small ribosomal subunit, and subsequent scanning for the initiator codon (By similarity)            Q6Z2Z4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              [cytoplasmic translational initiation]                                                                                                                                                                                                                                                                                             [IBA:GO_Central]
